Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-02-03 19:08:22,"Evening Workout",33m,"Lying Leg Curl (Machine)",3,38.0,9.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",1,0.0,7.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",2,0.0,7.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",3,0.0,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Dip",4,0.0,5.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Pushdown (Cable - Straight Bar)",1,21.0,10.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Pushdown (Cable - Straight Bar)",2,21.0,8.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Pushdown (Cable - Straight Bar)",3,21.0,8.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Triceps Pushdown (Cable - Straight Bar)",4,21.0,5.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Skullcrusher (Dumbbell)",1,7.0,10.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Skullcrusher (Dumbbell)",2,7.0,9.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Skullcrusher (Dumbbell)",3,7.0,8.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Skullcrusher (Dumbbell)",4,7.0,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Bicep Curl (Barbell)",1,8.0,11.0,0,0.0,"",,
2024-02-03 19:08:22,"Evening Workout",33m,"Bicep Curl (Barbell)",2,8.0,8.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Bicep Curl (Barbell)",3,8.0,6.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Bicep Curl (Barbell)",4,6.0,9.0,0,0.0,,,
2024-02-03 19:08:22,"Evening Workout",33m,"Bicep Curl (Barbell)",5,6.0,8.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Hack Squat",1,13.5,7.0,0,0.0,"","",
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Hack Squat",2,13.5,8.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Hack Squat",3,13.5,6.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Hack Squat",4,11.0,7.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Leg Press",1,41.0,9.0,0,0.0,"",,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Leg Press",2,41.0,9.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Leg Press",3,41.0,8.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Bicep Curl (Barbell)",1,9.0,8.0,0,0.0,"Myo-rep",,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Bicep Curl (Barbell)",2,8.5,7.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Bicep Curl (Barbell)",3,7.5,8.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Bicep Curl (Barbell)",4,7.5,7.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Bicep Curl (Barbell)",D,5.0,3.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Bicep Curl (Barbell)",5,5.0,7.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Skullcrusher (Dumbbell)",1,7.0,12.0,0,0.0,"",,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Skullcrusher (Dumbbell)",2,7.0,9.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Skullcrusher (Dumbbell)",3,7.0,10.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Skullcrusher (Dumbbell)",4,7.0,7.0,0,0.0,,,
2024-02-05 13:33:26,"Midday Workout",1h 39m,"Skullcrusher (Dumbbell)",D,4.0,4.0,0,0.0,,,
2024-02-06 14:17:33,"Afternoon Workout",30m,"Bench Press (Barbell)",1,24.0,9.0,0,0.0,"","",
2024-02-06 14:17:33,"Afternoon Workout",30m,"Bench Press (Barbell)",2,24.0,8.0,0,0.0,,,
2024-02-06 14:17:33,"Afternoon Workout",30m,"Bench Press (Barbell)",3,24.0,6.0,0,0.0,,,
2024-02-06 14:17:33,"Afternoon Workout",30m,"Bench Press (Barbell)",4,24.0,7.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lat Pulldown (Cable)",1,55.0,10.0,0,0.0,"","",
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lat Pulldown (Cable)",2,55.0,8.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lat Pulldown (Cable)",3,55.0,8.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lat Pulldown (Cable)",4,55.0,7.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Bench Press (Barbell)",1,25.0,9.0,0,0.0,"",,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Bench Press (Barbell)",2,25.0,8.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Bench Press (Barbell)",3,25.0,7.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Bench Press (Barbell)",4,25.0,7.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Seated Row (Cable)",1,42.0,11.0,0,0.0,"",,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Seated Row (Cable)",2,42.0,10.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Seated Row (Cable)",3,42.0,10.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Seated Row (Cable)",4,42.0,10.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lateral Raise (Cable)",1,4.4,7.0,0,0.0,"",,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lateral Raise (Cable)",2,4.4,9.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lateral Raise (Cable)",3,4.4,9.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lateral Raise (Cable)",4,4.4,9.0,0,0.0,,,
2024-02-10 15:31:43,"Afternoon Workout",1h 23m,"Lateral Raise (Cable)",5,4.4,9.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Bicep Curl (Barbell)",1,9.0,7.0,0,0.0,"","",
2024-02-11 14:02:50,"lower",43m,"Bicep Curl (Barbell)",2,8.0,9.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Bicep Curl (Barbell)",3,8.0,8.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Bicep Curl (Barbell)",4,7.5,7.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Bicep Curl (Barbell)",5,5.0,9.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Bicep Curl (Barbell)",6,5.0,9.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Skullcrusher (Dumbbell)",1,8.0,9.0,0,0.0,"",,
2024-02-11 14:02:50,"lower",43m,"Skullcrusher (Dumbbell)",2,8.0,8.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Skullcrusher (Dumbbell)",3,7.0,10.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Skullcrusher (Dumbbell)",4,7.0,7.0,0,0.0,,,
2024-02-11 14:02:50,"lower",43m,"Skullcrusher (Dumbbell)",5,4.0,13.0,0,0.0,,,
2024-02-12 14:48:04,"lower",1h 9m,"Hack Squat",1,13.5,7.0,0,0.0,"","",
2024-02-12 14:48:04,"lower",1h 9m,"Hack Squat",2,13.5,6.0,0,0.0,,,
2024-02-12 14:48:04,"lower",1h 9m,"Hack Squat",3,12.5,7.0,0,0.0,,,
2024-02-12 14:48:04,"lower",1h 9m,"Hack Squat",4,12.5,8.0,0,0.0,,,
2024-02-12 14:48:04,"lower",1h 9m,"Leg Press",1,41.0,10.0,0,0.0,"",,
2024-02-12 14:48:04,"lower",1h 9m,"Leg Press",2,41.0,10.0,0,0.0,,,
2024-02-12 14:48:04,"lower",1h 9m,"Leg Press",3,41.0,10.0,0,0.0,,,
